"name","confidence","reason"
"008_莫干山_云海山景__S_V010_S001.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"002_莫干山_竹林山景__S_V010_S015_待人工确认.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"010_莫干山_大巴集合出发__A_V023_S005.mp4","0.18","字幕检测置信度 18.0% 低于阈值 35.0%"
"013_莫干山_酒店民宿房间__B_V014_S020_待人工确认.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"018_莫干山_酒店民宿房间__S_V018_S015.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"034_莫干山_农家菜__S_V024_S011.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"001_莫干山_台球__S_V007_S014.mp4","0.18","字幕检测置信度 18.0% 低于阈值 35.0%"
"005_莫干山_水上乐园__S_V019_S007_待人工确认.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"007_莫干山_漂流__A_V001_S037.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"020_莫干山_漂流__S_V011_S035.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"032_莫干山_漂流__S_V024_S013_待人工确认.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"004_莫干山_真人CS__S_V022_S032.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"003_莫干山_高空滑索__S_V005_S024.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"005_莫干山_团队游戏挑战__S_V010_S004_待人工确认.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"013_莫干山_团队游戏挑战__S_V019_S008.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"014_莫干山_团队游戏挑战__S_V019_S009.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"022_莫干山_团队游戏挑战__S_V024_S033_待人工确认.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"010_莫干山_夜间娱乐__S_V013_S002.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"002_莫干山_烟花__S_V005_S035.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"004_莫干山_烟花__A_V019_S019.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"008_莫干山_露营__S_V019_S016_待人工确认.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"008_莫干山_图文海报__S_V009_S008.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"008_莫干山_方案讲解__S_V004_S008.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"026_莫干山_方案讲解__S_V004_S030_待人工确认.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"027_莫干山_方案讲解__S_V004_S031.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"028_莫干山_方案讲解__S_V004_S032.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"029_莫干山_方案讲解__S_V004_S033.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"012_莫干山_待人工分类_裁剪分割__CV002_S012.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
"335_莫干山_待人工分类_裁剪分割__CV024_S005.mp4","0.18","字幕检测置信度 18.0% 低于阈值 35.0%"
"361_莫干山_待人工分类_裁剪分割__CV024_S031.mp4","0.18","字幕检测置信度 18.0% 低于阈值 35.0%"
"371_莫干山_待人工分类_裁剪分割__CV024_S041.mp4","0.33","字幕检测置信度 33.0% 低于阈值 35.0%"
